NCESSCH;LEAID;LEANM05;SCHNAM05;LCITY05;LSTATE05;LATCOD;LONCOD;MLOCALE;ULOCALE;status05
120039000563;1200390;DADE COUNTY SCHOOL DISTRICT;HORACE MANN MIDDLE SCHOOL;MIAMI;FL;25.85754;-80.2015;3;21;1
120039000564;1200390;DADE COUNTY SCHOOL DISTRICT;MAYS COMMUNITY MIDDLE SCHOOL;MIAMI;FL;25.56581;-80.38122;3;21;1
120039000565;1200390;DADE COUNTY SCHOOL DISTRICT;HOWARD D. MCMILLAN MIDDLE SCHOOL;MIAMI;FL;25.71309;-80.40651;3;21;1
120039000567;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI EDISON MIDDLE SCHOOL;MIAMI;FL;25.83072;-80.19998;1;11;1
120039000568;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI LAKES MIDDLE SCHOOL;MIAMI LAKES;FL;25.91651;-80.30585;3;21;1
120039000569;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI SPRINGS MIDDLE SCHOOL;MIAMI SPRINGS;FL;25.81661;-80.2741;3;21;1
120039000570;1200390;DADE COUNTY SCHOOL DISTRICT;NAUTILUS MIDDLE SCHOOL;MIAMI BEACH;FL;25.81523;-80.13413;2;13;1
120039000571;1200390;DADE COUNTY SCHOOL DISTRICT;NORLAND MIDDLE SCHOOL;MIAMI;FL;25.95046;-80.22222;3;21;1
120039000572;1200390;DADE COUNTY SCHOOL DISTRICT;NORTH DADE MIDDLE SCHOOL;OPA-LOCKA;FL;25.91748;-80.23354;3;21;1
120039000573;1200390;DADE COUNTY SCHOOL DISTRICT;NORTH MIAMI MIDDLE SCHOOL;NORTH MIAMI;FL;25.89553;-80.18468;3;21;1
120039000574;1200390;DADE COUNTY SCHOOL DISTRICT;PALM SPRINGS MIDDLE SCHOOL;HIALEAH;FL;25.87299;-80.30339;3;21;1
120039000575;1200390;DADE COUNTY SCHOOL DISTRICT;PALMETTO MIDDLE SCHOOL;MIAMI;FL;25.65192;-80.31305;3;21;1
120039000576;1200390;DADE COUNTY SCHOOL DISTRICT;PARKWAY MIDDLE COMMUNITY SCHOOL;MIAMI;FL;25.93371;-80.2402;3;21;1
120039000577;1200390;DADE COUNTY SCHOOL DISTRICT;PONCE DE LEON MIDDLE SCHOOL;CORAL GABLES;FL;25.71688;-80.27334;3;21;1
120039000578;1200390;DADE COUNTY SCHOOL DISTRICT;REDLAND MIDDLE SCHOOL;HOMESTEAD;FL;25.53598;-80.45036;8;41;1
120039000579;1200390;DADE COUNTY SCHOOL DISTRICT;RICHMOND HEIGHTS MIDDLE SCHOOL;MIAMI;FL;25.62984;-80.35951;3;21;1
120039000580;1200390;DADE COUNTY SCHOOL DISTRICT;RIVIERA MIDDLE SCHOOL;MIAMI;FL;25.72307;-80.36241;3;21;1
120039000581;1200390;DADE COUNTY SCHOOL DISTRICT;ROCKWAY MIDDLE SCHOOL;MIAMI;FL;25.74237;-80.34764;3;21;1
120039000582;1200390;DADE COUNTY SCHOOL DISTRICT;SHENANDOAH MIDDLE SCHOOL;MIAMI;FL;25.75409;-80.22683;1;11;1
120039000583;1200390;DADE COUNTY SCHOOL DISTRICT;SOUTHWOOD MIDDLE SCHOOL;MIAMI;FL;25.61916;-80.32011;3;21;1
120039000584;1200390;DADE COUNTY SCHOOL DISTRICT;SOUTH MIAMI MIDDLE SCHOOL;SOUTH MIAMI;FL;25.71434;-80.30416;3;21;1
120039000585;1200390;DADE COUNTY SCHOOL DISTRICT;W. R. THOMAS MIDDLE SCHOOL;MIAMI;FL;25.74327;-80.40622;3;21;1
120039000587;1200390;DADE COUNTY SCHOOL DISTRICT;WEST MIAMI MIDDLE SCHOOL;MIAMI;FL;25.74805;-80.31781;3;21;1
120039000588;1200390;DADE COUNTY SCHOOL DISTRICT;WESTVIEW MIDDLE SCHOOL;MIAMI;FL;25.89026;-80.23161;3;21;1
120039000589;1200390;DADE COUNTY SCHOOL DISTRICT;AMERICAN SENIOR HIGH SCHOOL;HIALEAH;FL;25.93883;-80.30675;3;21;1
120039000590;1200390;DADE COUNTY SCHOOL DISTRICT;CORAL GABLES SENIOR HIGH SCHOOL;CORAL GABLES;FL;25.73439;-80.2633;3;21;1
120039000591;1200390;DADE COUNTY SCHOOL DISTRICT;HIALEAH SENIOR HIGH SCHOOL;HIALEAH;FL;25.86526;-80.2777;3;21;1
120039000592;1200390;DADE COUNTY SCHOOL DISTRICT;HIALEAH-MIAMI LAKES SENIOR HIGH;HIALEAH;FL;25.89504;-80.30802;3;21;1
120039000593;1200390;DADE COUNTY SCHOOL DISTRICT;HOMESTEAD SENIOR HIGH SCHOOL;HOMESTEAD;FL;25.44926;-80.45658;3;21;1
120039000594;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI BEACH SENIOR HIGH SCHOOL;MIAMI BEACH;FL;25.79878;-80.13375;2;13;1
120039000595;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI CAROL CITY SENIOR HIGH;OPA-LOCKA;FL;25.94368;-80.25888;3;21;1
120039000596;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI CENTRAL SENIOR HIGH SCHOOL;MIAMI;FL;25.86108;-80.2275;3;21;1
120039000598;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI DOUGLAS MACARTHUR NORTH SENIOR HIGH;HIALEAH;FL;25.90834;-80.35264;8;41;1
